Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
P16_k141_454184_length_15202_cov_8.0000_20,156,CDD,cd06583,PGRP,4,134,2.30907E-21,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P16_k141_91175_length_12152_cov_15.4151_24,261,CDD,cd06583,PGRP,33,133,2.26016E-15,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P17_k141_1127437_length_24134_cov_11.0000_18,197,CDD,cd06583,PGRP,6,138,2.08966E-25,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P17_k141_1259154_length_23130_cov_17.9613_22,246,CDD,cd00118,LysM,40,84,5.88566E-07,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
P17_k141_1259154_length_23130_cov_17.9613_22,246,Pfam,PF01464,Transglycosylase SLT domain,143,215,5.5E-10,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
P17_k141_1316812_length_66477_cov_14.0002_37,149,CDD,cd06583,PGRP,4,130,8.02797E-26,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P17_k141_2152303_length_8533_cov_9.8077_1,250,SMART,SM00257,LysM_2,7,52,0.00000042,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
P17_k141_473173_length_8281_cov_23.0050_15,200,Pfam,PF05838,Glycosyl hydrolase 108,9,108,6.9E-17,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
P17_k141_473173_length_8281_cov_23.0050_15,200,Pfam,PF09374,Predicted Peptidoglycan domain,111,192,6.4E-13,IPR018537,Peptidoglycan binding domain,-,-
P17_k141_634100_length_44431_cov_9.0000_35,171,CDD,cd06583,PGRP,29,150,1.34822E-23,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P18_k141_1489529_length_66387_cov_32.3962_15,218,CDD,cd06583,PGRP,70,198,4.7501E-17,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P18_k141_1499754_length_82947_cov_27.0003_86,505,CDD,cd06583,PGRP,345,465,7.15567E-22,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P19_k141_1661595_length_17133_cov_13.0000_7,820,CDD,cd00118,LysM,178,223,1.20704E-13,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
P19_k141_1942758_length_13737_cov_19.9969_20,193,CDD,cd02696,MurNAc-LAA,9,184,1.01384E-42,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
P19_k141_605506_length_37402_cov_15.0004_24,163,CDD,cd06583,PGRP,3,144,6.05814E-17,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P1_k141_285873_length_10073_cov_7.0000_7,210,CDD,cd06583,PGRP,86,179,1.20271E-13,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P1_k141_4164761_length_5237_cov_7.0000_2,189,CDD,cd06583,PGRP,34,177,3.37541E-26,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
P1_k141_4248887_length_41426_cov_29.1191_3,197,CDD,cd02696,MurNAc-LAA,2,174,1.92952E-41,IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain",GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1822|MetaCyc:PWY-5497|MetaCyc:PWY-5784|MetaCyc:PWY-5846|MetaCyc:PWY-6409|MetaCyc:PWY-6899|MetaCyc:PWY-7018|MetaCyc:PWY-7403|MetaCyc:PWY-7430|MetaCyc:PWY-7496|MetaCyc:PWY-7571|MetaCyc:PWY-7652|MetaCyc:PWY-7771|MetaCyc:PWY-7821|MetaCyc:PWY-7850|MetaCyc:PWY-7883|MetaCyc:PWY-8229|MetaCyc:PWY-8293|MetaCyc:PWY-8402|MetaCyc:PWY-8418|MetaCyc:PWY-8431|MetaCyc:PWY-8432|MetaCyc:PWY-8453
P1_k141_6395960_length_12938_cov_7.0000_1,277,CDD,cd00118,LysM,125,172,2.67668E-11,IPR018392,LysM domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5835|MetaCyc:PWY-5976|MetaCyc:PWY-6190|MetaCyc:PWY-6308|MetaCyc:PWY-6322|MetaCyc:PWY-6339|MetaCyc:PWY-6415|MetaCyc:PWY-6527|MetaCyc:PWY-6558|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6902|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7002|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7352|MetaCyc:PWY-7367|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7521|MetaCyc:PWY-7529|MetaCyc:PWY-7599|MetaCyc:PWY-7647|MetaCyc:PWY-7660|MetaCyc:PWY-7712|MetaCyc:PWY-7713|MetaCyc:PWY-7730|MetaCyc:PWY-7769|MetaCyc:PWY-7815|MetaCyc:PWY-7816|MetaCyc:PWY-7819|MetaCyc:PWY-7822|MetaCyc:PWY-7883|MetaCyc:PWY-7982|MetaCyc:PWY-8058|MetaCyc:PWY-8119|MetaCyc:PWY-8143|MetaCyc:PWY-8247|MetaCyc:PWY-8366|MetaCyc:PWY-8384|MetaCyc:PWY-8390|MetaCyc:PWY-8391|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-8455|MetaCyc:PWY-862
P1_k141_827302_length_44376_cov_18.0022_27,202,CDD,cd06583,PGRP,20,162,4.0995E-17,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
